央视高清,#genre#
多彩文体,rtsp://115.233.41.137/PLTV/88888913/224/3221229240/72486906.smil
都市剧场,rtsp://115.233.41.137/PLTV/88888913/224/3221229244/72486950.smil
法治天地,rtsp://115.233.41.137/PLTV/88888913/224/3221229323/72486984.smil
动漫秀场,rtsp://115.233.41.137/PLTV/88888913/224/3221229236/72486907.smil
游戏风云,rtsp://115.233.41.137/PLTV/88888913/224/3221229289/72488480.smil
乐游,rtsp://115.233.41.137/PLTV/88888913/224/3221229285/72486834.smil
金色学堂,rtsp://115.233.41.137/PLTV/88888913/224/3221229315/72486946.smil
生活时尚,rtsp://115.233.41.137/PLTV/88888913/224/3221229277/72486909.smil
快乐垂钓,rtsp://115.233.41.137/PLTV/88888913/224/3221229491/148775761.smil

国际,#genre#
CGTN,rtsp://115.233.41.137/PLTV/88888913/224/3221228108/10000100000000060000000002707382_0.smil
CGTN西班牙语,rtsp://115.233.41.137/PLTV/88888913/224/3221229180/54864297.smil
CGTN法语,rtsp://115.233.41.137/PLTV/88888913/224/3221229271/54864338.smil
CGTN阿拉伯语,rtsp://115.233.41.137/PLTV/88888913/224/3221229158/54864306.smil
CGTN俄罗斯语,rtsp://115.233.41.137/PLTV/88888913/224/3221229162/54864352.smil

地方高清,#genre#
浙江钱江都市高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229041/10000100000000060000000004799139_0.smil
浙江经济生活高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229115/10000100000000060000000004799165_0.smil
浙江教科影视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229111/10000100000000060000000004799164_0.smil
浙江民生休闲高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229045/10000100000000060000000004799162_0.smil
浙江公共新闻高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229034/10000100000000060000000004799161_0.smil
浙江少儿高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229030/10000100000000060000000004799160_0.smil
之江纪录高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229409/92749537.smil
杭州1综合高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229189/52579603.smil
杭州2明珠高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229152/52579496.smil
杭州3生活高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229156/52579500.smil
杭州4影视高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229142/52579609.smil
杭州5青少高清,rtsp://115.233.41.137/PLTV/88888913/224/3221229217/57567111.smil
绍兴新闻综合,rtsp://115.233.41.137/PLTV/88888913/224/3221228982/10000100000000060000000004011299_0.smil
宁波1新闻,rtsp://115.233.41.137/PLTV/88888913/224/3221229199/10000100000000060000000005105223_0.smil
宁波2经济,rtsp://115.233.41.137/PLTV/88888913/224/3221229146/52584043.smil
宁波3文体,rtsp://115.233.41.137/PLTV/88888913/224/3221229205/52584046.smil
宁波4影视,rtsp://115.233.41.137/PLTV/88888913/224/3221229209/52584148.smil

地方标清,#genre#
钱江频道,rtsp://115.233.41.137/PLTV/88888913/224/3221227790/10000100000000060000000000304158_0.smil
浙江经济生活,rtsp://115.233.41.137/PLTV/88888913/224/3221227778/10000100000000060000000000304143_0.smil
浙江教科影视,rtsp://115.233.41.137/PLTV/88888913/224/3221227851/10000100000000060000000000304818_0.smil
浙江民生休闲,rtsp://115.233.41.137/PLTV/88888913/224/3221227800/10000100000000060000000000304166_0.smil
浙江公共新闻,rtsp://115.233.41.137/PLTV/88888913/224/3221227816/10000100000000060000000000304167_0.smil
浙江少儿,rtsp://115.233.41.137/PLTV/88888913/224/3221227801/10000100000000060000000000304155_0.smil
杭州1综合,rtsp://115.233.41.137/PLTV/88888913/224/3221228040/10000100000000060000000000979371_0.smil
杭州2明珠,rtsp://115.233.41.137/PLTV/88888913/224/3221228052/10000100000000060000000000987759_0.smil
杭州3生活,rtsp://115.233.41.137/PLTV/88888913/224/3221228035/10000100000000060000000000979320_0.smil
杭州4影视,rtsp://115.233.41.137/PLTV/88888913/224/3221228023/10000100000000060000000000979322_0.smil
杭州5青少,rtsp://115.233.41.137/PLTV/88888913/224/3221228018/10000100000000060000000000979313_0.smil
金华新闻综合,rtsp://115.233.41.137/PLTV/88888913/224/3221228987/10000100000000060000000004035009_0.smil

广播,#genre#
浙江之声广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228218/10000100000000060000000003102657_0.smil
浙江新闻广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228332/10000100000000060000000003102947_0.smil
浙江经济广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228223/10000100000000060000000003102668_0.smil
